Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,133,6,Some Random Commen with Id 0
1,0,9,139,2,Some Random Commen with Id 1
2,0,9,41,4,Some Random Commen with Id 2
3,0,9,87,3,Some Random Commen with Id 3
4,1,9,43,0,Some Random Commen with Id 4
5,1,9,116,9,Some Random Commen with Id 5
6,1,9,25,6,Some Random Commen with Id 6
7,1,9,86,2,Some Random Commen with Id 7
8,2,4,96,6,Some Random Commen with Id 8
9,2,4,121,5,Some Random Commen with Id 9
10,2,4,44,8,Some Random Commen with Id 10
11,2,4,85,9,Some Random Commen with Id 11
12,2,4,187,3,Some Random Commen with Id 12
13,3,1,160,3,Some Random Commen with Id 13
14,3,1,86,5,Some Random Commen with Id 14
15,3,1,17,0,Some Random Commen with Id 15
16,3,1,122,4,Some Random Commen with Id 16
17,3,1,41,6,Some Random Commen with Id 17
18,3,1,55,4,Some Random Commen with Id 18
19,3,1,99,7,Some Random Commen with Id 19
20,3,1,150,7,Some Random Commen with Id 20
21,3,1,114,0,Some Random Commen with Id 21
22,4,8,19,7,Some Random Commen with Id 22
23,5,8,44,5,Some Random Commen with Id 23
24,5,8,179,1,Some Random Commen with Id 24
25,5,8,174,6,Some Random Commen with Id 25
26,5,8,94,5,Some Random Commen with Id 26
27,5,8,77,9,Some Random Commen with Id 27
28,5,8,180,7,Some Random Commen with Id 28
29,5,8,152,4,Some Random Commen with Id 29
30,6,6,4,3,Some Random Commen with Id 30
31,6,6,184,3,Some Random Commen with Id 31
32,7,7,17,7,Some Random Commen with Id 32
33,8,5,54,8,Some Random Commen with Id 33
34,8,5,191,7,Some Random Commen with Id 34
35,8,5,18,5,Some Random Commen with Id 35
36,9,9,88,8,Some Random Commen with Id 36
37,9,9,19,3,Some Random Commen with Id 37
38,12,0,98,8,Some Random Commen with Id 38
39,12,0,123,7,Some Random Commen with Id 39
40,12,0,150,3,Some Random Commen with Id 40
41,12,0,186,7,Some Random Commen with Id 41
42,12,0,190,8,Some Random Commen with Id 42
43,12,0,13,8,Some Random Commen with Id 43
44,12,0,138,7,Some Random Commen with Id 44
45,12,0,182,7,Some Random Commen with Id 45
46,12,0,161,1,Some Random Commen with Id 46
47,13,6,25,6,Some Random Commen with Id 47
48,13,6,0,5,Some Random Commen with Id 48
49,13,6,30,7,Some Random Commen with Id 49
50,13,6,168,4,Some Random Commen with Id 50
51,14,5,21,9,Some Random Commen with Id 51
52,14,5,92,9,Some Random Commen with Id 52
53,14,5,167,0,Some Random Commen with Id 53
54,14,5,27,5,Some Random Commen with Id 54
55,15,1,82,2,Some Random Commen with Id 55
56,15,1,6,2,Some Random Commen with Id 56
57,15,1,87,2,Some Random Commen with Id 57
58,15,1,140,3,Some Random Commen with Id 58
59,15,1,132,4,Some Random Commen with Id 59
60,15,1,117,2,Some Random Commen with Id 60
61,15,1,38,9,Some Random Commen with Id 61
62,16,5,68,2,Some Random Commen with Id 62
63,16,5,54,9,Some Random Commen with Id 63
64,16,5,52,7,Some Random Commen with Id 64
65,18,5,133,9,Some Random Commen with Id 65
66,18,5,137,6,Some Random Commen with Id 66
67,18,5,193,1,Some Random Commen with Id 67
68,18,5,27,3,Some Random Commen with Id 68
69,19,8,30,2,Some Random Commen with Id 69
70,19,8,180,8,Some Random Commen with Id 70
71,19,8,12,3,Some Random Commen with Id 71
72,19,8,84,6,Some Random Commen with Id 72
73,19,8,53,7,Some Random Commen with Id 73
74,19,8,129,7,Some Random Commen with Id 74
75,20,4,183,1,Some Random Commen with Id 75
76,20,4,84,8,Some Random Commen with Id 76
77,20,4,94,0,Some Random Commen with Id 77
78,20,4,109,2,Some Random Commen with Id 78
79,20,4,7,2,Some Random Commen with Id 79
80,20,4,138,2,Some Random Commen with Id 80
81,20,4,158,2,Some Random Commen with Id 81
82,21,3,114,8,Some Random Commen with Id 82
83,21,3,1,2,Some Random Commen with Id 83
84,21,3,90,7,Some Random Commen with Id 84
85,21,3,141,8,Some Random Commen with Id 85
86,22,6,18,9,Some Random Commen with Id 86
87,22,6,91,9,Some Random Commen with Id 87
88,22,6,22,3,Some Random Commen with Id 88
89,23,2,75,5,Some Random Commen with Id 89
90,23,2,164,1,Some Random Commen with Id 90
91,23,2,93,2,Some Random Commen with Id 91
92,23,2,25,7,Some Random Commen with Id 92
93,23,2,12,9,Some Random Commen with Id 93
94,24,8,8,3,Some Random Commen with Id 94
95,24,8,5,3,Some Random Commen with Id 95
96,24,8,172,9,Some Random Commen with Id 96
97,24,8,26,4,Some Random Commen with Id 97
98,24,8,196,3,Some Random Commen with Id 98
99,24,8,90,3,Some Random Commen with Id 99
100,24,8,80,5,Some Random Commen with Id 100
101,25,1,43,4,Some Random Commen with Id 101
102,25,1,181,1,Some Random Commen with Id 102
103,25,1,165,4,Some Random Commen with Id 103
104,25,1,39,5,Some Random Commen with Id 104
105,25,1,91,8,Some Random Commen with Id 105
106,25,1,144,2,Some Random Commen with Id 106
107,26,3,95,6,Some Random Commen with Id 107
108,26,3,150,0,Some Random Commen with Id 108
109,26,3,12,0,Some Random Commen with Id 109
110,27,7,8,8,Some Random Commen with Id 110
111,27,7,4,3,Some Random Commen with Id 111
112,27,7,97,6,Some Random Commen with Id 112
113,27,7,77,0,Some Random Commen with Id 113
114,27,7,98,9,Some Random Commen with Id 114
115,27,7,26,7,Some Random Commen with Id 115
116,27,7,153,5,Some Random Commen with Id 116
117,27,7,13,0,Some Random Commen with Id 117
118,27,7,41,1,Some Random Commen with Id 118
119,28,1,32,9,Some Random Commen with Id 119
120,28,1,157,2,Some Random Commen with Id 120
121,28,1,91,0,Some Random Commen with Id 121
